,0
0,0.9551704996064245
1,0.998497127937624
2,0.9844054921578049
3,0.9527157746492492
4,0.9695670561879979
5,0.9565288905066893
6,0.9438055079396861
7,0.9913339509769088
8,0.922652193295761
9,0.9607092930745011
10,0.9845958117932128
11,0.9794509955991941
12,0.958349333805927
13,0.9646585030925792
14,0.8685960380869915
15,0.9588294911789887
16,0.9326962424948846
17,0.9039218357929997
18,0.9692113110866103
19,0.9240353809741464
20,0.9603116016288027
21,0.9805894918248441
22,0.9883138732749046
23,0.9390325399431845
24,0.9806933430186575
25,0.9787765505968764
26,0.9799709713760762
27,0.9792967800656527
28,0.9369901636456746
29,0.9815886397046256
30,0.9983796259891958
31,0.9886686103527893
32,0.9870471348560557
33,0.9427841829221677
34,0.9379321366843385
35,0.9553861595101409
36,0.9480329027224457
37,0.9965911797943723
38,0.9864057343716581
39,0.998186594504064
40,0.9760107072908681
41,0.9945780019297104
42,0.9871973544803154
43,0.9762241708897079
44,0.9708158186507205
45,0.968933918549169
46,0.9573921899165043
47,0.9714926955687417
48,0.9916187866326709
49,0.9903405613580674
50,0.9717843643945798
51,0.9347993751808872
52,0.9737949695069972
53,0.9830881416640409
54,0.989879383368816
55,0.9185392135768495
56,0.9785026696523005
57,0.9862729128958847
58,0.9785840062314719
59,0.9806513777163275
60,0.9596730511282487
61,0.9767359446825452
62,0.985501338021777
63,0.8206662297622245
64,0.8980491726934474
65,0.8382738512294736
66,0.9983213677419649
67,0.9570376090394745
68,0.9243236216879609
69,0.9323727152149672
70,0.9896834008681594
71,0.9879953732738898
72,0.957741164686837
73,0.9650547360096482
74,0.9520799726910525
75,0.9688657294308314
76,0.9292741754087785
77,0.8521037341652118
78,0.988539930734504
79,0.9633394168453435
80,0.9513564500763039
81,0.9785755530787981
82,0.9939163425838444
83,0.9858190879047015
84,0.9964226176655302
85,0.985474732349445
86,0.8922011058984651
87,0.9979002291203918
88,0.9456166779848445
89,0.955477421955834
90,0.9842842246876273
91,0.9810204330626107
92,0.9701783251986456
93,0.969386408081931
94,0.979465831492746
95,0.929830916296055
96,0.9977686565510098
97,0.9864659359402026
98,0.9875601358110089
99,0.9998771843756251
100,0.9898202205319251
101,0.9499435648897361
102,0.9310791256342554
103,0.9867077516882148
104,0.978836598790167
105,0.9969190270053474
106,0.9960780314561646
107,0.9891820024749336
108,0.9457276768320639
109,0.9842605718304185
110,0.9533962614018208
111,0.9975889734711529
112,0.9600692419395784
113,0.9820701088854946
114,0.9596207106308725
115,0.9412165083310526
116,0.979028584464956
117,0.9549719382009556
118,0.9498559659009373
119,0.9764522646442799
120,0.9676840057605034
121,0.9348907746534394
122,0.9785068743069019
123,0.8818907804891012
124,0.9948732629299286
125,0.9407392653025113
126,0.9745577899012687
127,0.9904746069150576
128,0.991017430851656
129,0.9037744945623558
130,0.9966727770114261
131,0.9505909545116822
132,0.7707054053806246
133,0.9820823332441648
134,0.9318349779424295
135,0.9747683167109074
136,0.9814048247301912
137,0.9911456917476187
138,0.9856200246501601
139,0.9823456607199432
140,0.9995747555920325
141,0.9962211973524688
142,0.9552075765005554
143,0.9968027076458412
144,0.9745184273143366
145,0.9646463130697498
146,0.9956440695734301
147,0.9941674244640382
148,0.8085087691282808
149,0.9886847312535139
150,0.9760623260066552
151,0.8427542463851125
152,0.9558385040321298
153,0.9909997649560864
154,0.973832349636055
155,0.7950787067024976
156,0.9534587837991069
157,0.891900755689278
158,0.9895874260098481
159,0.9552245900244998
160,0.851748851425242
161,0.9376944401109597
162,0.9826364502891352
163,0.9932933892790459
164,0.9353821997413263
165,0.9634475163225318
166,0.967681043910062
167,0.9817636050237155
168,0.9937524132040636
169,0.9914903684359899
170,0.9655178124559569
171,0.9750346624690849
172,0.9012836895997225
173,0.9723088069227543
174,0.993567601954453
175,0.9394212162506221
176,0.9703814311896508
177,0.9915392299232337
178,0.96644077035279
179,0.953193421673717
180,0.9862051826108882
181,0.9966818041422556
182,0.9827481144259878
183,0.9779899526592715
184,0.9979866287413236
185,0.9807098849891531
186,0.9878220476478816
187,0.9786154194153198
188,0.9978633589217765
189,0.9700241138208128
190,0.9949997380949469
191,0.970577975430615
192,0.9815685759603241
193,0.977071677947265
194,0.9788624238631485
195,0.9943196041182034
196,0.9808421609259028
197,0.9333527452147337
198,0.983231633417347
199,0.9768929826225587
200,0.9910718524905917
201,0.9931131994480324
202,0.9961378754448873
203,0.9984057485861086
204,0.9901023742624488
205,0.9584690028727323
206,0.990977395455559
207,0.9957434042867988
208,0.9981835877542076
209,0.9927382972703995
210,0.9796618706960203
211,0.9926760887162658
212,0.9842722774045853
213,0.9997747243661168
214,0.990727778309747
215,0.9561204440016411
216,0.9567095355523634
217,0.9840249902188987
218,0.9900051066396713
219,0.9894369049016802
